id,title,type,release_year,age_certification,runtime,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres1,genres2,genres3,genres4,genres5,genres6,genres7,genres8,genres9
tm1205549,The House In Between: Part 2,MOVIE,2022,,102,['US'],,,,,3.329,5,'horror', 'thriller',,,,,,,
ts233747,Run the World,SHOW,2021,TV-MA,27,['US'],2,tt11737794,6.2,1215,7.815,7.176,'comedy', 'drama',,,,,,,
tm868979,They/Them/Us,MOVIE,2022,,90,['US'],,tt11115706,4.9,348,2.202,4.6,'drama', 'romance', 'comedy',,,,,,
tm1080420,Damon's Revenge,MOVIE,2022,R,89,['US'],,tt13797216,2.9,1780,4.842,4,'horror', 'action',,,,,,,
tm858009,Mosley: It's Complicated,MOVIE,2021,,96,[],,tt8936290,6.8,133,3.279,8,'documentation', 'sport',,,,,,,
tm471502,Sardar Udham,MOVIE,2021,R,163,"['IN', 'RU', 'GB']",,tt10280296,8.4,43512,7.689,7,'drama', 'crime', 'history',,,,,,
tm1160984,Vampirus,MOVIE,2022,,89,['US'],,tt12445782,4.4,58,1.296,4,'comedy', 'horror',,,,,,,
ts287994,Miss the Dragon,SHOW,2021,,35,['CN'],1,,,,24.543,7.2,'drama', 'action',,,,,,,
tm1158425,Lost Inside,MOVIE,2022,,95,[],,tt16897968,5.9,598,1.099,5.7,'drama',,,,,,,,
tm1215178,Viruman,MOVIE,2022,,151,['IN'],,tt15327256,4.9,2039,2.729,6.938,'action', 'drama',,,,,,,
tm1098881,Come to Harm,MOVIE,2022,,110,['IS'],,tt15010814,7.1,66,0.6,5,'drama', 'thriller',,,,,,,
ts228560,Blindspotting,SHOW,2021,TV-MA,36,['US'],2,tt11097374,6.6,1324,7.212,6.9,'crime', 'drama', 'comedy',,,,,,
ts350425,Crash Course,SHOW,2022,,44,['IN'],1,tt19868542,7.3,3958,3.401,4.333,'drama',,,,,,,,
tm1217674,Sita Ramam,MOVIE,2022,,158,['IN'],,tt20850406,8.6,57034,17.357,7.7,'drama', 'action', 'romance',,,,,,
tm1091840,Needle in a Timestack,MOVIE,2021,R,111,['US'],,tt7099280,5.2,1949,10.041,5.6,'drama', 'scifi', 'romance', 'fantasy',,,,,
tm1193918,When Are You Moving Out?,MOVIE,2022,,87,['GB'],,tt18927992,6.1,35,3.587,3,'comedy',,,,,,,,
